state;abbr;fips;as_of;operating_reactor_units;planned_new_reactor_units;restart_existing_reactor_units;restart_capacity_mw;explicit_federal_support_usd_m;state_reported_nuclear_investment_usd_m;project_reported_private_investment_usd_m;investment_score;tier
Alabama;AL;1;25/02/2026;5;0;0;0.0;0.0;0.0;0.0;5.0;Tier 2
Alaska;AK;2;25/02/2026;0;0;0;0.0;0.0;0.0;0.0;0.0;Tier 4
Arizona;AZ;4;25/02/2026;3;0;0;0.0;0.0;0.0;0.0;3.0;Tier 3
Arkansas;AR;5;25/02/2026;2;0;0;0.0;0.0;0.0;0.0;2.0;Tier 3
California;CA;6;25/02/2026;2;0;0;0.0;0.0;0.0;0.0;2.0;Tier 3
Colorado;CO;8;25/02/2026;0;0;0;0.0;0.0;0.0;0.0;0.0;Tier 4
Connecticut;CT;9;25/02/2026;2;0;0;0.0;0.0;0.0;0.0;2.0;Tier 3
Delaware;DE;10;25/02/2026;0;0;0;0.0;0.0;0.0;0.0;0.0;Tier 4
Florida;FL;12;25/02/2026;4;0;0;0.0;0.0;0.0;0.0;4.0;Tier 2
Georgia;GA;13;25/02/2026;4;0;0;0.0;0.0;0.0;0.0;4.0;Tier 2
Hawaii;HI;15;25/02/2026;0;0;0;0.0;0.0;0.0;0.0;0.0;Tier 4
Idaho;ID;16;25/02/2026;0;1;0;0.0;0.0;0.0;0.0;3.0;Tier 3
Illinois;IL;17;25/02/2026;11;0;0;0.0;0.0;0.0;0.0;11.0;Tier 1
Indiana;IN;18;25/02/2026;0;0;0;0.0;0.0;0.0;0.0;0.0;Tier 4
Iowa;IA;19;25/02/2026;0;0;0;0.0;0.0;0.0;0.0;0.0;Tier 4
Kansas;KS;20;25/02/2026;1;0;0;0.0;0.0;0.0;0.0;1.0;Tier 3
Kentucky;KY;21;25/02/2026;0;0;0;0.0;900.0;0.0;0.0;1.8;Tier 3
Louisiana;LA;22;25/02/2026;2;0;0;0.0;0.0;0.0;0.0;2.0;Tier 3
Maine;ME;23;25/02/2026;0;0;0;0.0;0.0;0.0;0.0;0.0;Tier 4
Maryland;MD;24;25/02/2026;2;0;0;0.0;0.0;0.0;0.0;2.0;Tier 3
Massachusetts;MA;25;25/02/2026;0;0;0;0.0;0.0;0.0;0.0;0.0;Tier 4
Michigan;MI;26;25/02/2026;3;2;1;800.0;1920.0;0.0;0.0;14.84;Tier 1
Minnesota;MN;27;25/02/2026;3;0;0;0.0;0.0;0.0;0.0;3.0;Tier 3
Mississippi;MS;28;25/02/2026;1;0;0;0.0;0.0;0.0;0.0;1.0;Tier 3
Missouri;MO;29;25/02/2026;1;0;0;0.0;0.0;0.0;0.0;1.0;Tier 3
Montana;MT;30;25/02/2026;0;0;0;0.0;0.0;0.0;0.0;0.0;Tier 4
Nebraska;NE;31;25/02/2026;1;0;0;0.0;0.0;0.0;0.0;1.0;Tier 3
Nevada;NV;32;25/02/2026;0;0;0;0.0;0.0;0.0;0.0;0.0;Tier 4
New Hampshire;NH;33;25/02/2026;1;0;0;0.0;0.0;0.0;0.0;1.0;Tier 3
New Jersey;NJ;34;25/02/2026;3;0;0;0.0;0.0;0.0;0.0;3.0;Tier 3
New Mexico;NM;35;25/02/2026;0;0;0;0.0;0.0;0.0;0.0;0.0;Tier 4
New York;NY;36;25/02/2026;4;0;0;0.0;0.0;0.0;0.0;4.0;Tier 2
North Carolina;NC;37;25/02/2026;5;0;0;0.0;0.0;0.0;0.0;5.0;Tier 2
North Dakota;ND;38;25/02/2026;0;0;0;0.0;0.0;0.0;0.0;0.0;Tier 4
Ohio;OH;39;25/02/2026;2;0;0;0.0;900.0;0.0;0.0;3.8;Tier 3
Oklahoma;OK;40;25/02/2026;0;0;0;0.0;0.0;0.0;0.0;0.0;Tier 4
Oregon;OR;41;25/02/2026;0;0;0;0.0;0.0;0.0;0.0;0.0;Tier 4
Pennsylvania;PA;42;25/02/2026;8;0;0;0.0;0.0;0.0;0.0;8.0;Tier 2
Rhode Island;RI;44;25/02/2026;0;0;0;0.0;0.0;0.0;0.0;0.0;Tier 4
South Carolina;SC;45;25/02/2026;7;0;0;0.0;0.0;0.0;0.0;7.0;Tier 2
South Dakota;SD;46;25/02/2026;0;0;0;0.0;0.0;0.0;0.0;0.0;Tier 4
Tennessee;TN;47;25/02/2026;4;1;0;0.0;1300.0;7300.0;5000.0;9.6;Tier 2
Texas;TX;48;25/02/2026;4;4;0;0.0;0.0;0.0;0.0;16.0;Tier 1
Utah;UT;49;25/02/2026;0;0;0;0.0;0.0;0.0;0.0;0.0;Tier 4
Vermont;VT;50;25/02/2026;0;0;0;0.0;0.0;0.0;0.0;0.0;Tier 4
Virginia;VA;51;25/02/2026;4;0;0;0.0;0.0;0.0;0.0;4.0;Tier 2
Washington;WA;53;25/02/2026;1;0;0;0.0;0.0;0.0;0.0;1.0;Tier 3
West Virginia;WV;54;25/02/2026;0;0;0;0.0;0.0;0.0;0.0;0.0;Tier 4
Wisconsin;WI;55;25/02/2026;2;0;0;0.0;0.0;0.0;0.0;2.0;Tier 3
Wyoming;WY;56;25/02/2026;0;1;0;0.0;0.0;0.0;0.0;3.0;Tier 3
